name,"Number of Reviews, Minimum Nights Correl",minNights,Total Reviews
Sunnyside Cozy Homey 2BR Chicago's Superb Location,59.0,1,59
Rest & Relaxation in Rogers Park!,59.0,1,59
"Ravenswood Manor, Sleeps 4! Close to El and Parks",59.0,2,119
Unbeatable Location w/ free parking spot!!!,59.0,2,119
"Homey, energy efficient 2 &  separate laundry room",59.0,1,59
Cozy 2BD/1BA in Charming Logan Square,59.0,2,119
Amazing condo in Lincoln Park (2 blocks to zoo),59.0,2,118
Great View @TheLoop steps to MilleniumPark✭,59.0,3,178
Walk to it all in Pilsen,59.0,2,119
Handicap accessible apartment w/Level-2 EV Charger,59.0,2,119
The Bungalow Hide Away !,59.0,2,119
Luxe 6BR House *Trendy Logan Square *Garage Access,59.0,3,177
2 Floor - 4 BR- 4Baths Condo Near downtown Chicago,59.0,1,59
Hotel Perks - Private Bedroom | Private Bathroom,59.0,1,59
Oasis in the City- walking distance to McCormick,59.0,2,118
Elegant vintage apartment in Ravenswood,59.0,1,59
Granville Guest Suite,59.0,1,59
Sentral Studio Apt in South Loop Chicago,58.0,1,58
"Hotel quality room near Downtown,CTA, McCormick",58.0,1,58
"B5Hotel quality room near Downtown, CTA,McCormick",58.0,1,58
New Queen bed near Downtown Chicago Chinatown,58.0,1,58
"Apartaestudio para 2 personas máximo, cómodo y limpio, muy central con múltiples vías de acceso, transporte urbano y cercanía a la estación del tren, variedad de restaurantes y tiendas.",58.0,1,58
♣️ HUGE 420 FRIENDLY MASTER 2 BEDROOM CONDO,58.0,1,58
Lovely 1 bedroom w/ office space and free parking.,58.0,1,58
Inviting 2 Bedroom Townhome with Private Balcony,58.0,1,58
10% Winter Promo! Stunning Solo/Couple 1BR Wi-Fi,58.0,1,58
Spectacular Corner 2BR Penthouse in the Loop | Roof Deck,58.0,2,116
"MICH AVE#4 KING BEDS |Grant Park, Museums 2bd/2ba",58.0,2,116
"2 Bed  Garden  Unit 5MIN to Downtown, FREE Parking",58.0,1,58
Chicago Vintage Home,58.0,2,117
Cozy Private Coach House,58.0,3,175
Comfort & Clean! 15 min ORD/Dwntwn3 & Parking,58.0,2,116
Designer Modern RiverWest 4-Bed/4-Bath,58.0,1,58
Private Duplex Coach Home in West Town,58.0,2,116
Whit's Place in Old Town,58.0,3,174
El Motel Tres Penthouse of the Sw with Patio Logan Square,58.0,2,117
Private Room for Frugal traveller,58.0,1,58
2BD/2BA 2 blck to EL-Walk to Zoo & Beach,58.0,1,58
"Mid City, Vintage, Close to O'Hare Pvt Room",58.0,2,117
Casa Corazón (N) near Rush / UIC,58.0,2,116
Lux 1BR/1BA Apartment in Belmont,57.0,1,57
Private Studio Apt in the Heart of Wicker Park!,57.0,2,115
Lincoln Park Apartment with Backyard! - 2 Bedrooms,57.0,1,57
Charming 3 Beds in Wrigley; Steps From Everything!,57.0,1,57
Master BR w/ensuite (600 Sq Ft.) in Chicago Condo,57.0,1,57
Beautiful (No Chores/ No Cleaning Fees),57.0,2,114
Brand New Designer Grace St Loft/Lakeview Chicago,57.0,2,115
Spectacular Corner 3BR Loft In Fulton Market | Featured In Architectural Digest,57.0,2,115
You don't want to miss this one. No cleaning fee,57.0,2,115
"Huge, Pet Friendly East Albany Park Apartment",57.0,2,114
Downtown Elegance ✨ Private Yard Parking,57.0,2,114
1 #11 - 2 Bedroom 1 Bath Condo - McCormick Place,57.0,2,114
"Luxury, private bedroom suite in Lakeview",57.0,2,114
"COMPLETELY REMODELED, BEAUTIFUL LAKE VIEW FLAT!",57.0,2,114
Lincoln Square In-laws Suite: Private Entrance,57.0,2,115
Wrigleyville Twin Beds and Bath Base in Lakeview,57.0,2,115
"Private, spacious studio in green building",57.0,3,173
Private BR;Parking by UofC/HydePark,57.0,2,114
Tea Studio in Wicker Park Spring Factory,57.0,3,171
Funky & Cozy Designer Apt/ 4 stops from Downtown,57.0,3,171
Private Bedroom near Downtown Chicago Chinatown,56.0,1,56
Short distance to the O'Hare or Downtown Chicago.,56.0,1,56
"Stunning, Spacious, & Sun-soaked 1BR Uptown Condo",56.0,1,56
Lovely 1 bedroom Condo in Hyde Park,56.0,1,56
Quiet light filled 2 bdrm in a great neighborhood,56.0,1,56
Stunning Condo #2 - Downtown River North!!!,56.0,1,56
Cozy Garden Apt in Historic Ukrainian Village,56.0,2,113
"Beautifully Renovated, Spacious Urban Getaway",56.0,2,113
East Pilsen art loft #3,56.0,1,56
Downtown Penthouse #2 | Vintage 3bd +GYM & Balcony,56.0,2,112
Designer 3BR Luxury Penthouse in Heart of Fulton Market | Featured In Architectural Digest,56.0,2,113
"Lake View Neighborhood Walk to EL & Wrigley, Prkng",56.0,4,224
In artistic Pilsen~Continental Breakfast~Near DWTN,56.0,3,170
Elizabeth by Coast to Cactus | Chic Artists Loft,56.0,3,168
Full size bed in private monster theme room,56.0,2,112
Bold Ukrainian Village 2 Bedroom w/Garage Parking,56.0,2,113
"Rustic Charm,  Eco-friendly -Chicago Bungalow Belt",56.0,2,112
Bedroom + apartment in Lincoln Park,56.0,1,56
10% Winter Promo! Elevating Studio Apt in Belmont,55.0,1,55
"Location, Location, Location, Private Bedroom",55.0,1,55
10% Winter Promo! Modern 3BR Apt in Boystown,55.0,1,55
Quiet Room #1,55.0,1,55
1BR Apt Full Kitchen Safe Popular Spot in Chicago,55.0,1,55
IMPECCABLE 5-BED WRIGLEYVILLE BEAUTY,55.0,2,111
Marvelous Penthouse Suite Filled W/ Natural Light,55.0,1,55
Unique Garden Apartment in the Center of Pilsen,55.0,2,111
"MICH AVE #5 |Downtown, Grant Park, Museums 2bd/2ba",55.0,2,111
Stunning Duplex Condo #1 - Downtown River North,55.0,2,110
"Spacious, sleeps 6, & close to the Midway Airport",55.0,1,55
The Sweet!,55.0,2,111
Hattie’s House,55.0,2,111
4 #1S - 4 Bedroom Condo - McCormick Place,55.0,1,55
Heart of Pilsen,55.0,2,111
Garden Apartment in the Historic Heart of the City,55.0,3,166
LARGE SPACE - TWO LEVELS  - DECK - PARKING!,55.0,2,111
"1200 ft near everything; weekend, month or longer",55.0,2,110
Amazing 2 bedroom apartment on prime location,55.0,2,111
Chicago River Room near USMLE/COMLEX,55.0,5,275
"XL Room +Bath, Office Space & Gym ON PRIVATE FLOOR",55.0,3,167
"Large, Reno’d 3 BR apt near Everything!",55.0,3,167
Private Space in Victorian Treasure,55.0,1,55
Wrigleyville Private Guesthouse,55.0,2,111
"Hotel quality suit full bath McCormick,DowntownCTA",54.0,1,54
Comfy Top Floor Suite in the Heart of Bucktown!,54.0,1,54
"Entire private coach house near transit, nightlife",54.0,2,109
Studio flat in the heart of downtown Chicago,54.0,2,109
420 at Cheltenham 4BR,54.0,1,54
Your brand new Chicago suite (unit 1F),54.0,2,108
One Bedroom Apartment in the Heart of Chicago,54.0,1,54
Campbell Soup Suite! Private entrance+bath,54.0,2,109
Wrigley Oasis! Steps from the Field! - 3BR/1BA!,54.0,2,108
El Motel Dos with Patio in Logan Square,54.0,2,108
Specious private bedroom,54.0,1,54
The Stained Glass Apt. Edgewater #1,54.0,2,109
Holiday Interior Designer Duplex in Lakeview,53.0,1,53
Comfy Private Floor 2br FastWi-Fi Selfcheck-in,53.0,1,53
✨Hidden Gem|Trendy|1BR|Vibrant Lincoln Sq. ✨,53.0,2,107
Cabin #305 at 747 Lofts,53.0,1,53
"Private, Cozy Bedroom Near O’hare in Norwood Park",53.0,1,53
Modern 3BR Penthouse in the Loop | Roof Deck,53.0,2,106
"Splendid studio near Lake, WrigleyField & Boystown",53.0,1,53
10% Winter Promo! Sophisticated 2BR near Wrigley,53.0,1,53
Charming & Stylish 2BR Condo Perfect for Family,53.0,1,53
Kasa | Hear Local Music in South Loop | Chicago,53.0,3,161
Beautiful 2BR Apt in Old Town! Great Location!,53.0,1,53
⭐️Cozy Bedroom by Downtown & Train; Rooftop Deck!⭐️,53.0,2,107
Modern Relaxing Northside Apt. in Jefferson Park,53.0,2,107
Priv. BR/BA in French Bungalow - Near Lincoln Sq.,53.0,1,53
202 Chicago Andersonville Nice area Free wifi,53.0,1,53
Charming Chinatown Home by McCormick★Downtown,53.0,3,159
Park views in Pilsen (Rush/UIC),53.0,2,107
Private Queen Bedroom/Bathroom Lakeview,53.0,2,106
Lincoln Park Single Family Home,53.0,2,107
Lux Jr. Suite in Wicker Park w/Private Bath & 420F,52.0,1,52
Sonder Jewelers Row | Studio Apartment,52.0,2,104
City View near Downtown Chicago Sox Chinatown,52.0,1,52
"Logan Square Corner 3BR, Walkable to Highlights",52.0,1,52
Downtown Chicago 8 minutes away New Queen Bed,52.0,1,52
Studio Suite KingBed close Wrigleyville,52.0,1,52
Relaxing in the City,52.0,1,52
Urban Camper,52.0,2,105
Heart Of Wicker Park Studio Walk To The Train!,52.0,1,52
Gamers Getaway 20 minutes from downtown,52.0,2,104
Private Andersonville Guest Suite,52.0,2,104
Spacious & Cozy 3Bdr in the Heart of Chicago,52.0,2,105
Private Room in Cozy Townhouse (Harold Washington),52.0,1,52
5-Star Private Suite- Safe & Cozy for up to 4!,52.0,2,105
Charming Flat In Avondale,52.0,2,105
Quiet Rooms2 in Quiet Neighborhood,52.0,2,105
Great for Students! Affordability+Location,52.0,2,104
"Feel Home in Chicago, with parking & lots of space",51.0,1,51
Play in the Windy City and rest by the “606”,51.0,1,51
"Pets OK | Walk Score 95 | Desk | 1,750ft² |W/D",51.0,2,102
"McCormick331, Chinatown, SOX, GrantPark",51.0,1,51
Great Location! 2BR 1BA Next to Wrigley. Cubs!,51.0,1,51
Explore Chicago from a Modern 4 Bed 2 Bath Apt.,51.0,3,154
Plant Oasis (No Chores/No Cleaning Fees),51.0,2,102
The Bright Retreat in Andersonville,51.0,2,102
Spacious & Bright 3BR in Wicker Park,51.0,1,51
Classic Chicago Bungalow in West Rogers Park,51.0,1,51
Convenient Hyde Park 2 Bedroom Apartment,51.0,3,154
Contemporary and Cozy with Dedicated Parking,51.0,2,102
711 The Penthouse,51.0,2,102
303 Netflix ready Room very comfortable,51.0,1,51
"LOGAN SQUARE: Cozy, Mod Chic, 1st Floor 2 BD APT!",51.0,2,102
Deluxe Uptown Condo,51.0,2,103
"Clean, spacious, walk to Wrigley! Self check-in!",51.0,2,103
Cheery Vintage Rehab with Huge Windows,51.0,1,51
"Warm Cozy Guest Suite, Private Bath",51.0,2,102
"Luxury, fresh-rehabbed, 3 bedroom unit in Chicago",50.0,1,50
Spacious & Stylish 2BR-2BA Apt Steps from The Bean,50.0,1,50
Spacious 3 bedroom/4 Bed W/ Free Parking and Patio,50.0,1,50
Cabin #205 at 747 Lofts,50.0,1,50
Modern designed 2bed/2bath | Heart of Bronzeville!,50.0,1,50
Cozy Queen Bed & Parking in Boystown,50.0,1,50
Comfortable Room Five Min Walk to Blue Line/ RM 2,50.0,1,50
Luxury Downtown Penthouse with Private Rooftop!,50.0,2,100
Godfrey Hotel Lifestyle Rooftop 4.5*-Double Deluxe,50.0,1,50
TheClubHouse @ the Sq.—Contactless Check-in/No fee,50.0,2,100
Duplex Roomy Logan Square on a Tree Lined Street,50.0,3,151
Historic luxury Townhouse  in Downtown Chicago,50.0,2,101
3-3A - 3 Bedroom w Downtown View - McCormick Place,50.0,2,101
Cozy and Comfy entire apartment for you!,50.0,1,50
Private Room w/ Queen Bed in West Loop Chicago,50.0,1,50
3 Level Lincoln Park Townhouse with 4 Beds!,50.0,3,152
The Lodge Chicago,50.0,2,101
"Cozy, 2 bedroom garden unit, near Wicker Park",50.0,1,50
"3 miles to Wrigley, private, cozy, easy access",50.0,1,50
Flexible Apt. for 8 by Oak Park-CHI,50.0,3,150
Private Beautiful 1 Bedroom Condo,50.0,2,101
Art filled apartment in Logan,50.0,2,100
Mayfair 2BR near Blue Line (Monthly availability),50.0,2,100
Near Lake Michigan & Wrigley Field,50.0,2,101
Grant Park Pinnacle (2BD/2BA),49.0,1,49
Elite Studio Apt in Uptown near Shops,49.0,1,49
Brand-new Bright & Airy Entire Unit in Logan,49.0,1,49
Entire Condo 2Bed/2Bath freshly Renovated,49.0,1,49
Bronzeville Apartment minutes from downtown!,49.0,1,49
"3-3B - 3 Bedroom Condo - McCormick Pl, Chinatown",49.0,2,99
Near 606 Trail | Free Garage Parking | W&D |LUXTEL,49.0,2,98
"Chicago Bungalow ""get away"" in the City-12",49.0,3,149
Private room with view of the 606 and private bath,49.0,3,147
Palmer Square/606 trail. Armitage/Kedzie/Cortland.,49.0,2,98
★Private Apt★Home Living★Dogs★ Kids★FREE Pkg★,49.0,2,98
"+Safe Area, Friendly Dog, Laundry, 42"" TV in Room+",49.0,1,49
"Contemporary, elegantly styled apartment.",49.0,2,99
"""The Annex II"" Huge 1,600 Sq foot Apartment",49.0,2,99
Lovely 3 BR In a Great Location. Mins. to Downtown,48.0,1,48
Chic & Cozy home @ Irving Train Stop,48.0,1,48
Intimate Chicago Landmark Building,48.0,1,48
Kasa | Awe-inspiring Views | Old Town,48.0,2,96
Downtown Chicago 8 minutes away Self Check in,48.0,1,48
Entire Below Level Studio w/ Private Sauna,48.0,2,96
Cozy Chicago Hideaway,48.0,2,97
The Luxurious Private Room & Private Bathroom,48.0,1,48
Hemingway's Room,48.0,2,97
Beautiful and spacious West Loop apartment.,48.0,3,144
Huge 2 Story Home/7miles from Downtown Chicago!,48.0,2,96
Coach House w/ Pvt. Rooftop Deck & Attached Garage,48.0,2,97
🎀PRETTY PRIVATE SPACE 420 FRIENDLY OVERNIGHT STAY,48.0,1,48
Soak Up Mid-Century Style in Wrigleyville and Boystown,48.0,2,96
Gated 3 Story Guest Home,48.0,2,97
At the junction of comfort and care,48.0,2,96
Alewyfe Farm Urban Garden Oasis- free parking!,48.0,3,146
Garden Unit Studio Mins Frm McCormick Place&D'Town,48.0,2,96
City Hideaway,48.0,2,96
Modern studio at Uptown by Red line (02),47.0,1,47
Cozy 1 BR Apartment in South Loop,47.0,1,47
Chic & Spacious 2 Bedroom Suite In Wrigleyville!,47.0,1,47
10% Winter Promo! Delightful 1BR Apt in Belmont,47.0,1,47
Lincoln Park Hideaway - 5 Min Walk to the Park,47.0,1,47
#B Comfy Private bedroom Shared bath Near Downtown,47.0,1,47
Cabin #204 at 747 Lofts,47.0,1,47
West Loop 2 bedroom with outdoor space,47.0,2,94
Inspiring Stone Grotto Sleeps 10-20 & Free Parking,47.0,2,95
❤️ New and Clean! Big Apartment with Parking,47.0,2,94
Large four bedroom freshly remodeled apartment,47.0,2,95
Spacious 3 bedroom Apartment,47.0,2,94
Spacious & Charming 2nd Floor Unit in Bronzeville,47.0,1,47
Logan Square Garden Sanctuary,47.0,2,95
"Penthouse w Downtown View + Patio, McCormick Place",47.0,2,95
"Clean, Cozy, Comfortable Studio Near Downtown",47.0,3,142
Bucktown Abode,47.0,2,95
"Modern, Spacious, New apt. Private entrance.",47.0,2,94
Loft-like Wicker Park Condo Steps from the CTA!,47.0,3,142
*Comfortable & Spacious Home Close to Downtown*,47.0,3,142
Cozy with Chic Design 2BR in Hip Logan Square,47.0,3,143
Spacious private room/bath in modern home,47.0,2,94
"Turquoise Wonder - Clean, Cozy & Stylish Apt",47.0,5,235
Private In-law Suite near O'Hare,47.0,2,95
The Ultimate Eco-Friendly Tiny House Experience!,46.0,1,46
Quaint bedroom for two in Lincoln Park,46.0,1,46
Stunning Corner 2BR in Streeterville | Roof Deck | Lake Views,46.0,2,92
⭐️Cozy Garden Unit by Downtown & Blue Line Stop⭐️,46.0,2,93
West Humboldt Park Getaway,46.0,1,46
Hot 🔥 West Town 3 bd/2 ba • Garage • Sleeps 9!,46.0,3,140
Large Condo in the Center of Logan Square Chicago,46.0,3,138
Comfy River West Apt with Free Gated Parking,46.0,2,93
Great Location & Bright 2BR+2BA | Mapletree Suites,46.0,2,92
Chic Downtown Condo - Heart of River North!,46.0,3,140
A Stones Throw from U Chicago South Campus!,46.0,3,139
"★★★Charming 2BR near downtown, +FREE parking★★★",46.0,3,138
Explore Lincoln Park from a Polished Apartment,46.0,3,139
CT's Art BNB in West Town's Gallery Row,46.0,2,92
Bronzeville Artist Place,46.0,1,46
Luxury 4 bedroom steps from Wrigley,46.0,2,93
*SPACIOUS 4 Bedroom Townhouse with FREE PARKING!*,46.0,2,92
Charming Lincoln Square Room,46.0,1,46
"Wicker Park Historic, Art-Filled, Urban Oasis #1",45.0,1,45
⭐️⭐️Entire Unite 2-Bdr. HORNER PARK⭐️⭐️,45.0,1,45
"Hotel quality suit full bath McCormick,DowntownCTA",45.0,1,45
Getaway in the Heart of Pilsen Chicago ❤️,45.0,1,45
Poe Mans House. A Modern Hyde Park Getaway.,45.0,1,45
Beautiful Corner 2 Bedroom in the Loop | Roof Deck,45.0,2,90
#C Comfy Private bedroom Shared bath Near Downtown,45.0,1,45
Luxurious Cozy Private Room & SHARED Bathroom,45.0,1,45
Tidy Designer Apartment in Heart of Lincoln Square,45.0,3,135
Cozy 2 bdrm near McCormick Place & Wintrust Arena,45.0,2,91
Trendy Wicker Park Loft with Parking!,45.0,3,136
MARVELOUS MAG MILE 2BD/2BA  (+Rooftop),45.0,2,91
"BEAUTIFUL HOME, GREAT FOR GROUPS, NEAR WRIGLEY+CTA",45.0,1,45
DaQuietPLACEtoRELAX/5bdrm/15Min Downtown/8mMidway.,45.0,2,90
"Cozy 2BR Garden Apt, Steps from Train",45.0,5,228
"Private apartment inside house 
GATED FREE Parking",45.0,2,90
Modern Graystone Apartment in Popular Foodie Neighborhood,45.0,2,90
"Remodeled, Near Loyola, Beach and Subway",45.0,2,91
Sydni Suites near the UChicago Campus,45.0,3,137
Edgebrook Lg bdr by golf course,45.0,2,91
Comfy Bedroom unit 2 | room # 1 – 25min Downtown,44.0,1,44
"Peaceful Family Home near Downtown, MDW, Free Park",44.0,1,44
"Hotel quality suit full bath McCormick,DowntownCTA",44.0,1,44
"Cozy , Historic , One Bedroom Unit in Lincoln Park",44.0,1,44
New Queen Bed near Downtown Chicago,44.0,1,44
Eddy Street Upstairs Apartment,44.0,1,44
Charming & Bright Multilevel Townhome with Parking,44.0,1,44
BEST In Chicago. Entire condo w/FREE Gated parking,44.0,1,44
McCormick Place Studio/parking/sleeps up to 4,44.0,2,89
Modern Suite,44.0,1,44
"Stylish, posh, and very private flat",44.0,3,132
Kasa | See the Sites from Your Balcony | Chicago,44.0,3,133
Beautifully Remodeled Flat Downtown,44.0,2,89
Modern Home RoscoeVillage/Wrigley Free St Parking,44.0,3,134
❤️ Lowest Rates! Spacious Duplex with Parking!,44.0,2,88
DOWNTOWN PENTHOUSE #1 | Vintage 2bd (+Gym),44.0,2,88
Wilton House,44.0,2,88
Classic Chicago 2-Flat Living Newly Renovated,44.0,2,88
WRIGLEYVILLE 4-BED with TONS OF SUNLIGHT,44.0,2,89
Custom Apartment in the heart of Avondale,44.0,2,88
Cozy Hideout in Art Filled Chicago Neighborhood,44.0,2,88
The Wrigley Retreat - New Unit Sleeps 1-4 People,44.0,3,134
2. Pill Hill Mansion(Large/Cozy/ High Speed Wi-Fi),44.0,2,88
Modern Garden Apartment in Lincoln Square,44.0,2,89
Historic campus house owned by U of C Prof,44.0,1,44
"Sunny Home Chinatown, close to McCormick",44.0,2,88
Walk to Wrigley Field near a Room in Lakeview / Southport Townhouse,44.0,1,44
Bingham 2/2,44.0,2,89
Cozy Lakeview Apt-Walk to Wrigley & Free Parking!,44.0,1,44
Entire 3Bed/2Bath Condo Near McCormick & Metro,43.0,1,43
"B3Hotel quality room near Downtown,CTA,McCormick",43.0,1,43
Kasa | Everything You Need in Chicago | Old Town,43.0,2,86
Travelers Retreat in Old Town Chicago,43.0,1,43
Downtown Chicago 8 minutes away New Queen Bed,43.0,1,43
McCormick 420 friendly 2br/2ba parking/sleeps 6,43.0,2,86
Serene and Stylish Space - Close To Everything!,43.0,2,87
Gritty Chic River North + ACME Hotel,43.0,1,43
Kasa | Tons of Nearby Museums to Explore | Chicago,43.0,3,131
OLD TOWN TRIUMPHANT 2BD/2BA (+Rooftop&Parking),43.0,2,87
Good Stay/ 2 bedroom off Addison Blue Line,43.0,3,129
Cozy and Comfy 1BR Apartment in Logan Square!,43.0,2,87
❤️ Stylish and Cozy 2BR in Logan Square!,43.0,2,87
Home away from Home.,43.0,1,43
2BR Garden Unit in Workers Cottage; Steps from CTA,43.0,2,87
Beautiful 3 Bed 1 Bath! Free parking in Logan Sq!,43.0,2,87
House 5BED/3BATH/1PARKING close to Downtown & Lake,43.0,2,86
The Greystone ~ 7mins to Lakefront/DowntownChicago,43.0,2,86
Huge Open Concept Home in Lakeview-walk to Wrigley,43.0,2,87
Cortez House - 2BR - Free Parking - Great Beds,43.0,3,129
Elegant & Clean Cottage Apt 20mins from O’Hare,43.0,3,130
Large 12 Bedroom Chicago Home- Sleeps 25,43.0,2,87
Soft Suede and Warm Bricks at a Stylish Rogers Park Home,43.0,2,86
Amazing Apt in Duplex near McCormick Place/Loop,43.0,2,87
03b.  Twin in Coed Space - 3 mi to NWU,43.0,1,43
Chicago Bell Comfort in the City Large 3BRM,43.0,3,130
House 3BED/2BATH/1PARKING close to Downtown & Lake,43.0,3,130
Lincoln Park! Walk Beach/Zoo!  Free Parking!  OBO,43.0,1,43
Garden Apartment in Historic Hyde Park Mansion,43.0,2,86
Your Cozy 2nd Home!/Near Rosemount /O'Hare Airport,43.0,3,129
Modern 1 bdr in Edgewater by Red Line and Loyola,42.0,1,42
❤️‍🔥MAGNIFICENT NEW Home w/8 Beds & Free Parking❤️‍🔥,42.0,1,42
Idyllic Lakefront Sanctuary w/ Unforgettable Vista,42.0,1,42
Beautiful West Town Suite with Great Character!,42.0,1,42
Newly Rehabbed! Clean & Modern 2 Bedroom for Long Stay Guests,42.0,1,42
Breathtaking Getaway in Prime Lakeview Location!,42.0,1,42
*Sale* Modern 1 bdr close to Downtown|West Loop|,42.0,1,42
Cabin #102 at 747 Lofts– ADA Accessible!,42.0,1,42
Cabin #206 at 747 Lofts,42.0,1,42
Simple and Convenient,42.0,1,42
Bucktown: Unique Artsy comfortable apartment,42.0,2,85
"Ravenswood, Sleeps 4! Close to CTA, Metra, & Parks",42.0,2,85
Kasa | Walk to Grant Park | Chicago,42.0,3,127
Gigantic Condo steps from Wrigley Field!,42.0,2,84
Massive 4 Bedroom 3 Bath Condo 2 blocks from Beach,42.0,1,42
"Sunny Vintage Charmer, Close to ""L"" and Park",42.0,2,85
Historic Pullman/Color Splash/Great Neighborhood,42.0,2,84
Private Lincoln Park Condo with Parking Spots=,42.0,2,84
Cozy Andersonville Cabin,42.0,2,84
Traveler's Dream - 1 bed in a shared bedroom,42.0,1,42
On the Boulevard in Logan Square,42.0,3,128
Cozy Basement Studio in Chicago (Galewood),42.0,2,84
"The Drake! Brand new, full-time AirBnB 2BR unit!",42.0,2,85
Charming Room in Beautiful Vintage Building!!,42.0,2,84
Cozy space in Lincoln Square,42.0,2,85
Vintage Ukrainian Village Apartment,42.0,2,85
Beautifully Renovated 2BR in Historic Lincoln Park,42.0,5,211
"Historic campus U of C Prof. mansion, top location",42.0,1,42
"Chicago Style 2Br Apt by CTA Blue, Easy Parking",42.0,3,128
Ideally located and spacious Lakeview Apt,42.0,2,85
Edgebrook bdr by golf course,42.0,2,84
Office Room Style - 9min to Downtown & Chinatown,41.0,1,41
💥⚡️Amazing Location | Luxury Apt | Rooftop Pool⚡️💥,41.0,1,41
Woodlawn Oasis...10 Minutes to Dining & Downtown,41.0,1,41
10% Winter Promo! 3BR Sunny & Spacious Apt | Resto,41.0,1,41
Spacious 2 BR near DT 25min walk to United Center!,41.0,2,83
Charming Lincoln Square Apartment Location,41.0,1,41
10% Winter Promo! Lively Rejuvenating 1BR,41.0,1,41
"McCormick333, Chinatown, SOX, GrantPark",41.0,1,41
Steps to DePaul Campus | Walkup + W&D | Zencity,41.0,1,41
Sacramento Home,41.0,1,41
"Sanitized Home, 4BR/3BA, Free Parking available",41.0,1,41
Huge Home * Yard * Parking * Best Location,41.0,2,83
Bright and Cozy 1BR Apartment in Logan Square!,41.0,2,83
Spacious & Modern Family Friendly North Center Apt,41.0,2,82
Free Parking & King Bed in Desirable Norwood Park!,41.0,3,125
"The Urban Bungalow, a Lovely Chicago Oasis",41.0,2,82
Sunny and Funky Logan Square Garden Apartment,41.0,3,125
⭐NEW rehab LOGAN SQ Laundry free parking ⭐,41.0,2,83
Cozy Avondale apt right by Belmont blue line stop,41.0,2,83
Near West Loop Garden Unit with various amenities,41.0,2,82
Cozy Room with Free Street Parking,41.0,2,83
1 #12 - 2 Bedroom 1 Bath Condo - McCormick Place,41.0,2,83
X3. Mansion Coed shared Rm (Not private),41.0,2,83
Chic Home West of Wicker Park,41.0,4,165
Lovely and Cozy Suite on Southport !,41.0,3,123
"Private 1BR, Full Bath in Historic Loft Building",41.0,2,82
"Cloudgate Room, minutes to O'Hare in Safest Area",41.0,6,251
Cozy Bungalow Getaway,41.0,2,83
"Cool, Quiet Private Room close to city center",41.0,3,125
Superhost Wrigley/Lakeview Duplex 3BR/2.5BA,41.0,3,124
Lincoln Square Modern 2 Bed 2 Bath,41.0,3,125
The Explorer Room,41.0,3,123
Great Location!  Modern Condo 15 min from Downtown,40.0,1,40
Luxury Stay near Downtown Chicago New Queen bed,40.0,1,40
CHIC DOWNTOWN PENTHOUSE w/ private roof +parking,40.0,1,40
Lovely 1 Bedroom Condo in the heart of Hyde Park,40.0,1,40
Uplifting Studio Apartment in Belmont,40.0,1,40
FOUND Hotel Chicago - Queen + Twin Room,40.0,1,40
Rooftop 4bedroom loft,40.0,1,40
"MICH AVE #20 Downtown, Grant Park, Museums 2bd/2ba",40.0,1,40
Perfect Private Getaway in Perfect Pilsen,40.0,2,80
Cozy Eco-Friendly 2BD Lake Suite Near Downtown,40.0,1,40
Lincoln Park - DePaul House w/Patio Free Parking,40.0,2,80
Garfield Manor,40.0,2,81
New! Beautiful 2BR Apartment in Old Town,40.0,3,120
"MICH AVE #25 Downtown, Grant Park, Museums 2bd/2ba",40.0,2,81
Art Inspired Home Away from Home!,40.0,2,81
5BR newly remodeled in a historical street sleeps/11 Free Parking,40.0,1,40
❤️ Lowest Rates! Fun & Stylish 3BR in Logan Square,40.0,2,80
"Staypineapple Chicago, Millennium Park King Suite",40.0,1,40
2BR Centrally Located in Cozy Hip Logan Square,40.0,3,121
Cozy Small Private Garden Apt in Chicago Logan Sq,40.0,2,81
C. MANSION SHARED COED ROOM (NOT PRIVATE) LOW BUNK,40.0,2,80
"Warm, Spacious 3BD Near Downtown, I-290 + Train",40.0,2,81
Comfy house in the northwest.,40.0,1,40
"Comfy 3BD/1BA, garage spot included",40.0,2,81
Sentral 1BR Premium Apt in South Loop Chicago,39.0,1,39
Cozy Chicago bedroom unit # 2 room # 3,39.0,1,39
Peaceful & Complete 1BR Apt in West Loop,39.0,1,39
Stylish 1BR Suite near Loyola University- Stay Gia,39.0,2,79
Convenient & Spacious 3BR Condo w/Free Parking,39.0,1,39
"Hotel quality suit full bath McCormick,DowntownCTA",39.0,1,39
Designer's 3BR Apt in Hyde Park,39.0,1,39
10% Winter Promo! Enticing 1BR/1BA Apt in Belmont,39.0,1,39
Stylish & Charming 1PBR 2 Miles From Downtown,39.0,1,39
Stunning bedroom available in the Hyde Park area,39.0,1,39
Charming Wrigleyville Home Close to the Cubs!,39.0,1,39
Peaceful Guest Suite/Garden Unit/Small Kitchenette,39.0,1,39
MAG MILE Luxe Designer Apartment - Steps to Lake!,39.0,2,78
"Kasa | See Contemporary Art, South Loop | Chicago",39.0,3,117
Comfortable Room Five Min Walk to Blue Line/ RM 1,39.0,1,39
COZY Private Room & Private Bath,39.0,1,39
Luxurious Cozy Private-Room & Shared Bathroom,39.0,1,39
"MICH AVE #23  2bd/2ba Downtown, Museums w/ Views",39.0,2,78
Beautifully Remodeled Flat Downtown,39.0,2,79
